Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Duration,Invasive,Shade Tolerance
DIVIV,,Dichanthelium villosissimum var. villosissimum,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NJ, NY, OK, OR, PA, RI, SC, TN, TX, VA, WI, WV), CAN (ON, PE, QC)",Perennial,,
DIWI5,,Dichanthelium wilcoxianum,"USA (CO, IA, IL, IN, KS, MN, MT, ND, NE, NM, OK, SD, WI, WY), CAN (AB, MB, SK)",Perennial,,
DICA8,,Digitaria californica,"USA (AZ, CA, CO, NM, OK, TX)",Perennial,,Intolerant
DICO6,,Digitaria cognata,"USA (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI), CAN (ON)",Perennial,,
DIFI,,Digitaria filiformis,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)","Annual, Perennial",,
DIPU9,,Digitaria pubiflora,"USA (AZ, CO, NM, OK, TX)",Perennial,,
DIVI,,Digitaria villosa,"USA (AL, AR, FL, GA, IL, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA), USA+ (PR)",Perennial,,
DIVI2,,Digitaria violascens,"USA (AL, AR, FL, GA, HI, IN, KY, LA, MA, MS, NC, OK, SC, TN, TX), USA+ (PR)","Annual, Perennial",,
DISP,,Distichlis spicata,"USA (AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, KS, LA, MA, MD, ME, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, VA, WA, WI, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, SK)",Perennial,"NE&GP, WSWS",Intolerant
ELCA4,,Elymus canadensis,"USA (AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NT, ON, QC, SK)",Perennial,,Tolerant
ELCH5,,Elymus churchii,"USA (AL, AR, MO, OK)",Perennial,,
ELDI3,,Elymus diversiglumis,"USA (AR, IA, IL, MI, MN, MO, ND, OK, SD, WI, WY), CAN (MB, ON, SK)",Perennial,,
ELEL5,,Elymus elymoides,"USA (AZ, CA, CO, DC, ID, IL, KS, KY, MO, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK)",Perennial,,Intolerant
ELELB2,,Elymus elymoides ssp. brevifolius,"USA (AZ, CA, CO, ID, IL, KS, KY, MO, MT, NE, NM, NV, OK, OR, SD, TX, UT, WY)",Perennial,,
ELELE,,Elymus elymoides ssp. elymoides,"USA (AZ, CA, CO, DC, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY), CAN (AB, BC, SK)",Perennial,,
ELGL3,,Elymus glabriflorus,"USA (AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, OH, OK, SC, TN, TX, VA, VT, WV)",Perennial,,
ELGL,,Elymus glaucus,"USA (AK, AR, AZ, CA, CO, ID, IL, KS, MI, MO, MT, ND, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK, YT)",Perennial,,Tolerant
ELGLG,,Elymus glaucus ssp. glaucus,"USA (AK, AR, AZ, CA, CO, ID, IL, KS, MI, MO, MT, ND, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK, YT)",Perennial,,
ELGLM,,Elymus glaucus ssp. mackenzii,"USA (AR, MO, OK)",Perennial,,
ELHY,,Elymus hystrix,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",Perennial,,
ELHYH,,Elymus hystrix var. hystrix,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",Perennial,,
ELMA,,Elymus macgregorii,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, ND, NE, NH, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV), CAN (NS, ON)",Perennial,,
ELRE4,,Elymus repens,"USA (AK, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,Intolerant
ELSU,,Elymus submuticus,"USA (CO, IA, ID, IL, IN, KS, KY, MA, MN, MO, MT, ND, NE, NM, NY, OH, OK, PA, RI, SD, TN, UT, WA, WI, WY), CAN (AB, BC, MB, ON, QC, SK)",Perennial,,
ELSV,,Elymus svensonii,"USA (AR, KY, MO, OK, TN)",Perennial,,
ELVI,,Elymus villosus,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (ON, QC)",Perennial,,
ELVI3,,Elymus virginicus,"USA (AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",Perennial,,Tolerant
ELVIV,,Elymus virginicus var. virginicus,"USA (AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",Perennial,,
ENDE,,Enneapogon desvauxii,"USA (AZ, CA, CO, HI, MD, NM, NV, OK, TX, UT)",Perennial,,
ERCU,,Eragrostis curtipedicellata,"USA (AR, CO, KS, LA, MO, NM, OK, TX)",Perennial,,
ERCU2,,Eragrostis curvula,"USA (AL, AR, AZ, CA, CO, DE, FL, GA, HI, IL, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WV), USA+ (PR)",Perennial,,Intolerant
EREL,,Eragrostis elliottii,"USA (AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TX), USA+ (PR, VI)",Perennial,,
ERHI,,Eragrostis hirsuta,"USA (AL, AR, DE, FL, GA, IL, KY, LA, MA, MD, MO, MS, NC, NJ, OH, OK, SC, TN, TX, VA, WV)",Perennial,,
ERIN,,Eragrostis intermedia,"USA (AL, AR, AZ, CA, FL, GA, KS, LA, MA, ME, MO, MS, NC, NM, OK, SC, TN, TX, VA)",Perennial,,Intolerant
ERLE,,Eragrostis lehmanniana,"USA (AZ, CA, NM, OK, TX, UT)",Perennial,,Intolerant
ERLU,,Eragrostis lugens,"USA (AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX)",Perennial,,
ERPE,,Eragrostis pectinacea,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, NB, NS, ON, QC)","Annual, Perennial",,
ERRE,,Eragrostis refracta,"USA (AL, AR, DE, FL, GA, LA, MD, MO, MS, NC, NJ, OK, SC, TX, VA)",Perennial,,
ERSE,,Eragrostis secundiflora,"USA (AL, AR, CA, CO, FL, GA, KS, LA, MO, MS, NC, NE, NM, OK, SC, TN, TX, VA)",Perennial,,
ERSEO,,Eragrostis secundiflora ssp. oxylepis,"USA (AL, AR, CA, CO, FL, GA, KS, LA, MO, MS, NC, NE, NM, OK, SC, TN, TX, VA)",Perennial,,
ERSE2,,Eragrostis sessilispica,"USA (KS, NM, OK, TX)",Perennial,,
ERSP,,Eragrostis spectabilis,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (MB, ON, QC)",Perennial,NE&GP,Intolerant
ERTR3,,Eragrostis trichodes,"USA (AL, AR, CO, IA, IL, IN, KS, LA, MI, MN, MO, MS, NE, NM, NY, OH, OK, SD, TN, TX, VA, WI, WY)",Perennial,,Intolerant
ERSE5,,Eriochloa sericea,"USA (KS, OK, TX)",Perennial,,
ERPI5,,Erioneuron pilosum,"USA (AZ, CA, CO, KS, NM, NV, OK, TX, UT)",Perennial,,
7-Feb,,Festuca brevipila,"USA (AL, CA, CT, DC, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT), DEN (GL)",Perennial,,
FEPA2,,Festuca paradoxa,"USA (AL, AR, DE, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NE, OK, PA, SC, TN, TX, VA, WI), CAN (ON, QC)",Perennial,,
FESU3,,Festuca subverticillata,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",Perennial,,Intermediate
FEVE,,Festuca versuta,"USA (AR, KS, OK, TN, TX)",Perennial,,
GLAR,,Glyceria arkansana,"USA (AR, IL, KY, LA, MO, MS, NY, OK, TN, TX, VA)",Perennial,,
GLSE3,,Glyceria septentrionalis,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV), CAN (ON, QC)",Perennial,,
GLST,,Glyceria striata,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",Perennial,,Tolerant
GYAM,,Gymnopogon ambiguus,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,,
GYBR,,Gymnopogon brevifolius,"USA (AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, NJ, OK, SC, TN, TX, VA)",Perennial,,
HECO26,,Hesperostipa comata,"USA (AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, NY, OK, OR, RI, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, SK, YT)",Perennial,,
HECOC8,,Hesperostipa comata ssp. comata,"USA (AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, NY, OK, OR, RI, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, SK, YT)",Perennial,,Intolerant
HENE5,,Hesperostipa neomexicana,"USA (AZ, CO, NM, NV, OK, TX, UT, WY)",Perennial,,
HESP11,,Hesperostipa spartea,"USA (CO, IA, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, WI, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,Intolerant
HOLA,,Holcus lanatus,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV), USA+ (PR), CAN (AB, BC, NB, NF, NS, ON, QC, SK)",Perennial,"Cal-IPC, HEAR, N'EAST, WSWS",Intermediate
HOJU,,Hordeum jubatum,"USA (AK, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)",Perennial,"NE&GP, SWSS, WSWS",
HOJUJ,,Hordeum jubatum ssp. jubatum,"USA (AK, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)",Perennial,,
KOMA,,Koeleria macrantha,"USA (AK, AL, AR, AZ, CA, CO, DE, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, VT, WA, WI, WY), CAN (AB, BC, MB, NT, ON, QC, SK, YT)",Perennial,,Tolerant
LELE2,,Leersia lenticularis,"USA (AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, OH, OK, SC, TN, TX, VA, WI)",Perennial,,Intolerant
LEOR,,Leersia oryzoides,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NS, ON, PE, QC, SK)",Perennial,,Intolerant
LEVI2,,Leersia virginica,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (NB, ON, QC)",Perennial,,Tolerant
LEDU,,Leptochloa dubia,"USA (AZ, CA, CO, FL, KS, MD, MO, MS, NC, NM, OK, SC, TX)",Perennial,,Intolerant
LEFU21,,Leptochloa fusca,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, ON, QC)","Annual, Perennial",,
LEFUU,,Leptochloa fusca ssp. uninervia,"USA (AL, AR, AZ, CA, CO, FL, GA, HI, IL, KS, LA, MA, ME, MO, MS, NC, NJ, NM, NV, OK, OR, SC, TN, TX, UT, VA), USA+ (PR)","Annual, Perennial",,
LEPA6,,Leptochloa panicea,"USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, KY, LA, MA, MO, MS, NC, NJ, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA), USA+ (PR, VI)","Annual, Perennial",,
LEPAB,,Leptochloa panicea ssp. brachiata,"USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KY, LA, MO, MS, NC, NJ, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA), USA+ (PR, VI)","Annual, Perennial",,
LEPAM,,Leptochloa panicea ssp. mucronata,"USA (AR, GA, IL, KS, KY, LA, MA, MO, MS, OK, TN, TX)","Annual, Perennial",,
LOPE,,Lolium perenne,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial, Annual",,Intolerant
LOPEM2,,Lolium perenne ssp. multiflorum,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Annual, Perennial","Cal-IPC, N'EAST, SWSS",Intermediate
LOPEP,,Lolium perenne ssp. perenne,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,
LYPH,,Lycurus phleoides,"USA (AZ, CO, ME, NM, OK, TX)",Perennial,,
LYSE3,,Lycurus setosus,"USA (AZ, CA, CO, KS, NM, OK, TX, UT)",Perennial,,
MEAL,,Melica altissima,"USA (NY, OK), CAN (ON)",Perennial,,
MEMU,,Melica mutica,"USA (AL, AR, DC, FL, GA, IA, IL, IN, KY, LA, MD, MS, NC, NJ, OK, SC, TN, TX, VA, WV)",Perennial,,
MENI,,Melica nitens,"USA (AL, AR, AZ, CO, GA, IA, IL, IN, KS, KY, MD, MN, MO, NC, NE, NM, OH, OK, PA, TN, TX, VA, WI, WV)",Perennial,,
MUAR2,,Muhlenbergia arenicola,"USA (AZ, CO, KS, NM, OK, TX)",Perennial,,
MUAS,,Muhlenbergia asperifolia,"USA (AZ, CA, CO, IA, ID, IL, IN, KS, KY, MD, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, SK)",Perennial,,Tolerant
MUBU,,Muhlenbergia bushii,"USA (AR, GA, IA, IL, IN, KS, KY, LA, MD, MO, NC, NE, OK, TX, VA, WV)",Perennial,,
MUCA2,,Muhlenbergia capillaris,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV), USA+ (PR)",Perennial,,Intolerant
MUCU3,,Muhlenbergia cuspidata,"USA (AR, CO, IA, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, TN, VA, WI, WY), CAN (AB, MB, SK)",Perennial,,Intolerant
MUFR2,,Muhlenbergia frondosa,"USA (AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV), CAN (NB, ON, QC)",Perennial,"N'EAST, SWSS",Tolerant
MUME2,,Muhlenbergia mexicana,"USA (AL, AR, AZ, CA, CO, CT, DE, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NS, ON, QC, SK, YT)",Perennial,,Intermediate
MUPO2,,Muhlenbergia porteri,"USA (AZ, CA, CO, NM, NV, OK, TX, UT)",Perennial,,Intermediate
MURA,,Muhlenbergia racemosa,"USA (AZ, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, VA, VT, WA, WI, WY), CAN (AB, BC, MB, NS, ON, QC, SK)",Perennial,NE&GP,Tolerant
MURE2,,Muhlenbergia reverchonii,"USA (OK, TX)",Perennial,,
MUSC,,Muhlenbergia schreberi,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV), CAN (ON)",Perennial,"KY, N'EAST, NE&GP, STATE, SWSS",Tolerant
MUSO,,Muhlenbergia sobolifera,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, TN, TX, VA, VT, WI, WV), CAN (ON)",Perennial,,
MUSY,,Muhlenbergia sylvatica,"USA (AL, AR, AZ, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (ON, QC)",Perennial,,Intermediate
MUTE,,Muhlenbergia tenuiflora,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (ON, QC)",Perennial,,
MUTO2,,Muhlenbergia torreyi,"USA (AZ, CO, KS, NM, NV, OK, TX, WY)",Perennial,,
MUWR,,Muhlenbergia wrightii,"USA (AZ, CO, NM, OK, TX, UT)",Perennial,,Intolerant
NALE3,,Nassella leucotricha,"USA (AR, LA, OK, SC, TX)",Perennial,,
OPHI,,Oplismenus hirtellus,"USA (AL, AR, FL, GA, HI, LA, MD, MO, MS, NC, OK, SC, TX, VA), USA+ (PR, VI)",Perennial,,
OPHIS,,Oplismenus hirtellus ssp. setarius,"USA (AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TX, VA), USA+ (PR, VI)",Perennial,,
PAAN,,Panicum anceps,"USA (AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,,
PAHA,,Panicum hallii,"USA (AZ, CO, LA, NM, OK, TX, UT)",Perennial,,
PAHAH,,Panicum hallii var. hallii,"USA (AZ, CO, NM, OK, TX, UT)",Perennial,,
PAHA2,,Panicum havardii,"USA (NM, OK, TX)",Perennial,,
PAOB,,Panicum obtusum,"USA (AR, AZ, CO, IL, KS, MO, NM, OK, TX, UT)",Perennial,,Intermediate
PARI4,,Panicum rigidulum,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), USA+ (PR), CAN (BC, NS, ON)",Perennial,,Intolerant
PARIR,,Panicum rigidulum var. rigidulum,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), USA+ (PR), CAN (BC, ON)",Perennial,,
PAVI2,,Panicum virgatum,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY), CAN (MB, NS, ON, QC, SK)",Perennial,SWSS,Intolerant
PAVIV,,Panicum virgatum var. virgatum,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY), CAN (MB, NS, ON, QC, SK)",Perennial,,
PASM,,Pascopyrum smithii,"USA (AK, AR, AZ, CA, CO, GA, IA, ID, IL, IN, KS, KY, MA, MI, MN, MO, MT, ND, NE, NH, NM, NV, NY, OH, OK, OR, SD, TN, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, QC, SK)",Perennial,,Intolerant
PAGE2,,Paspalidium geminatum,"USA (, AL, FL, GA, LA, MO, OK, SC, TX), USA+ (PR, VI)",Perennial,,
PAGEG,,Paspalidium geminatum var. geminatum,"USA (, AL, FL, LA, MO, OK, TX), USA+ (PR, VI)",Perennial,,
PABI3,,Paspalum bifidum,"USA (AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
PADI3,,Paspalum dilatatum,"USA (AL, AR, AZ, CA, CO, DC, FL, GA, HI, IL, KY, LA, MD, MO, MS, NC, NJ, NM, OK, OR, SC, TN, TX, UM, VA, WV), USA+ (PR)",Perennial,"N'EAST, SWSS, WSWS",Intermediate
PADI5,,Paspalum dissectum,"USA (AL, AR, DC, DE, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Perennial,,
PADI6,,Paspalum distichum,"USA (AL, AR, AZ, CA, FL, GA, HI, ID, KS, KY, LA, MD, MO, MS, NC, NJ, NM, NV, OK, OR, PA, SC, TN, TX, UM, UT, VA, WA), USA+ (PR, VI)",Perennial,,Intolerant
PAFL4,,Paspalum floridanum,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA)",Perennial,,
PALA10,,Paspalum laeve,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,KY,Intermediate
PALA11,,Paspalum langei,"USA (FL, LA, OK, TX)",Perennial,,
PANO2,,Paspalum notatum,"USA (AL, AR, CA, FL, GA, HI, IL, LA, MS, NC, NJ, OK, SC, TN, TX, VA), USA+ (PR, VI)",Perennial,SWSS,
PANON,,Paspalum notatum var. notatum,"USA (AL, AR, FL, IL, LA, MS, NC, NJ, OK, SC, TX, VA), USA+ (PR, VI)",Perennial,,
